Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Group Membership,E-mail 1 - Type,E-mail 1 - Value,Team
"Gentium SpA Piazza XX Settembere, 2 Villa Guardia ",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"miacobelli@gentium.it",Work,"+39031385217",Work Fax,"+39031385241",Work,"Gentium SpA Piazza XX Settembere, 2 Villa Guardia (CO) 22079","Gentium SpA Piazza XX Settembere, 2 Villa Guardia ",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=19&team=1",team,"Iacobelli, Massimo-Hoyle, Margaret-Echart, Cinara-Islam, Khalid"
"Novartis Farma SpA L.go U. Boccioni 1 Origgio I-21",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"elke.engstroem@novartis.com",Work,"",Work Fax,"undefined",Work,"Novartis Farma SpA L.go U. Boccioni 1 Origgio I-21040","Novartis Farma SpA L.go U. Boccioni 1 Origgio I-21",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=21&team=1",team,"Engstroem, Elke-Tanguler, Duygu-D´Enrico, Federica-Fincato, Gianluca-Swan, Craig"
"HSS. Antonioe Biagio Haematology Department Via Ve",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"alevis@ospedale.al.it",Work,"39-(0)131-206-156/817",Work Fax,"39-(0)131-261-029",Work,"HSS. Antonioe Biagio Haematology Department Via Venezia 16 15121 Alessandria","HSS. Antonioe Biagio Haematology Department Via Ve",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=825&team=1",team,"Levis, Alessandro-Corsetti, MariaTeresa-Pini, Massimo-Salvi, Flavia-Pesce, Annarita-Tamiazzo, Stefania"
"Azienda Ospedali Riuniti di Ancona Departmentof He",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"a.olivieri@univpm.it",Work,"39-071-596-4235",Work Fax,"39-071-218-3448",Work,"Azienda Ospedali Riuniti di Ancona Departmentof Hematology Ancona University Via Conca, 1 60020 Ancona","Azienda Ospedali Riuniti di Ancona Departmentof He",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=788&team=1",team,"Olivieri, Attilio-Leoni, Pietro-Scortechini, Ilaria-Montanari, Mauro-Montevecchi, Claudia-Barzetti, Lorella-Mancini, Giorgia"
"Mazzoni Hospital Haematology Service Via Degli Iri",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"ematologia@asl13.marche.it",Work,"",Work Fax,"undefined",Work,"Mazzoni Hospital Haematology Service Via Degli Iris 6 63100 Ascoli Piceno","Mazzoni Hospital Haematology Service Via Degli Iri",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=119&team=1",team,"Galieni, Piero-Bigazzi, Catia-Falcioni, Sadia-diBuo, MariaRita"
"A.O.R.N.SAN. GMOSCATI Ematologia 83100 Avellino",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"n.cantore@virgilio.it",Work,"39-0825-203-235",Work Fax,"39-0825-203-235",Work,"A.O.R.N.SAN. GMOSCATI Ematologia 83100 Avellino","A.O.R.N.SAN. GMOSCATI Ematologia 83100 Avellino",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=789&team=1",team,"Storti, Gabriella-Cantore, Nicola-Volpe, Silvestro-Egidio, Fina"
"Centrodi Riferimento Oncologico C. R. O. IRCCS Avi",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"altedosi@cro.it",Work,"39-04-34-659-020",Work Fax,"39-04-34-659-531or200",Work,"Centrodi Riferimento Oncologico C. R. O. IRCCS Aviano Via Franco Gallininº2 33081 Aviano","Centrodi Riferimento Oncologico C. R. O. IRCCS Avi",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=162&team=1",team,"Michieli, Mariagrazia-Rupolo, Maurizio-Lleshi, Arben-Mazzucato, Mario-Abbruzzese, Luciano-Sartor, Ivana-Durante, Cristina-Sartor, Ivana-Zanet, Ernesto"
"Università degli Studi di Bari Cattedrae Serviziod",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"ematba@cimedoc.uniba.it",Work,"+390805478711",Work Fax,"+390805428978",Work,"Università degli Studi di Bari Cattedrae Serviziodi Ematologia Azienda Policlinico Bari Piazza G. Cesare 11 70124 Bari","Università degli Studi di Bari Cattedrae Serviziod",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=649&team=1",team,"Liso, Vincenzo-Specchia, Giorgina-Vito, Pedone-Domenico, Pastore"
"Ospedali Riuniti di Bergamo Divisione di Ematologi",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"arambaldi@ospedaliriuniti.bergamo.it",Work,"39-035-269-492/035266148",Work Fax,"39-035-266-147",Work,"Ospedali Riuniti di Bergamo Divisione di Ematologia Largo Barozzi, 1 24128 Bergamo","Ospedali Riuniti di Bergamo Divisione di Ematologi",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=658&team=1",team,"Rambaldi, Alessandro-Grassi, Anna-Algarotti, Alessandra-Micò, Caterina-Trunfio, Angela-Oldani, Elena"
"Bologna University, S. Orsola- Malpighi Hospital I",,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Centri Italiani,* Work,"giuseppe.bandini@unibo.it",Work,"39-051-6363833/3680/3799",Work Fax,"39-051-6364037",Work,"Bologna University, S. Orsola- Malpighi Hospital Institute of Hematology Medical Oncology A Seràgnoli Via Massarenti 9 40138 Bologna","Bologna University, S. Orsola- Malpighi Hospital I",,,,,,,Profile,"http://www2.clinicalresearch.nl/members/cic.asp?cic=240&team=1",team,"Bandini, Giuseppe-Bonifazi, Francesca-Cavo, Michele-Motta, Mariarosa-Rizzi, Simonetta-Gori, Erika-Bertoni, Rita"
